"CancerType","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","3.46 (1.89-5.03, p<.001)","4.67 (2.02-7.33, p=.002)","2.64 (0.05-5.23, p=.05)","1.04 (-1.98-4.07, p=.48)","1.00 (-2.98-4.99, p=.61)","0.41 (-3.65-4.47, p=.84)"
"   Head & neck","2.07 (-0.62-4.75)","3.56 (0.84-6.29)","2.11 (-0.69-4.91)","1.15 (-1.73-4.03)","0.55 (-3.35-4.46)","0.42 (-3.67-4.51)"
"   Lung","2.12 (0.03-4.21)","4.38 (-0.15-8.91)","0.82 (-3.75-5.39)","0.52 (-4.20-5.23)","-1.07 (-7.13-4.98)","-3.19 (-8.68-2.30)"
"   Upper gastrointestinal","4.74 (0.94-8.54)","6.02 (1.81-10.24)","3.44 (-1.68-8.57)","1.42 (-5.71-8.56)","2.45 (-4.12-9.02)","1.59 (-4.96-8.15)"
"Secondary expanded high-detection group","3.77 (0.88-6.66, p=.01)","3.83 (0.06-7.60, p=.05)","1.43 (-2.40-5.26, p=.45)","1.27 (-3.01-5.54, p=.54)","1.07 (-3.09-5.23, p=.60)","-0.17 (-3.71-3.37, p=.92)"
"   Gynaecological cancer","2.86 (-0.33-6.05)","1.84 (-3.66-7.33)","3.71 (-2.39-9.82)","1.43 (-6.04-8.90)","-0.79 (-6.36-4.78)","-1.46 (-7.35-4.43)"
"   Haematological malignancies (excluding acute leukaemia)","0.01 (-5.93-5.95)","-1.02 (-6.91-4.87)","-2.87 (-10.28-4.53)","-1.88 (-11.97-8.21)","-1.15 (-12.15-9.85)","-4.78 (-14.83-5.27)"
"   Lower gastrointestinal","4.56 (-0.56-9.67)","3.63 (-2.57-9.83)","-0.24 (-7.14-6.65)","1.40 (-7.67-10.46)","2.32 (-5.83-10.47)","0.21 (-6.67-7.08)"
"   Urological malignancies (excluding testicular)","3.98 (0.35-7.62)","3.16 (-1.75-8.07)","0.23 (-4.92-5.38)","2.11 (-2.13-6.35)","2.12 (-2.57-6.80)","0.73 (-4.54-6.01)"
"Secondary low-detection group","0.02 (-5.10-5.14, p=.99)","0.23 (-5.74-6.19, p=.94)","-1.54 (-5.74-2.65, p=.45)","-0.46 (-5.43-4.50, p=.85)","-2.45 (-7.14-2.23, p=.29)","-0.98 (-5.55-3.58, p=.66)"
"   Acute leukaemia","-5.48 (-16.02-5.06)","-13.88 (-32.26-4.51)","3.99 (-26.97-34.96)","9.51 (-6.55-25.57)","21.00 (6.24-35.75)","12.36 (-4.24-28.96)"
"   Brain/central nervous system tumours","2.27 (-5.60-10.14)","0.67 (-5.36-6.70)","1.11 (-8.53-10.75)","-2.89 (-13.35-7.57)","-3.48 (-11.47-4.50)","4.91 (-7.56-17.38)"
"   Breast","0.54 (-6.66-7.73)","-1.84 (-9.50-5.81)","-1.37 (-5.86-3.13)","-0.17 (-4.76-4.42)","-1.73 (-7.43-3.97)","-1.11 (-4.89-2.68)"
"   Sarcoma","-0.80 (-8.94-7.34)","4.81 (-3.88-13.50)","8.18 (-4.17-20.53)","9.04 (-2.03-20.11)","15.51 (3.29-27.73)","13.68 (2.21-25.16)"
"   Skin","-1.32 (-7.44-4.80)","0.63 (-5.87-7.13)","-2.42 (-10.13-5.29)","-1.85 (-9.77-6.08)","-3.95 (-10.59-2.69)","-2.34 (-9.33-4.64)"
"   Testicular","2.29 (-3.96-8.54)","2.86 (-3.78-9.49)","0.54 (-6.19-7.27)","2.78 (-4.47-10.02)","-0.69 (-7.74-6.35)","1.26 (-6.12-8.64)"
"   Other","11.13 (-6.34-28.60)","8.59 (-10.35-27.53)","10.39 (-10.96-31.75)","11.21 (-7.50-29.93)","7.27 (-14.42-28.96)","2.91 (-9.15-14.97)"
